  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
   10110,    26182,    13568,        0,     6908,    21249,   131043
   10130,    26235,    13568,        0,     6908,    21249,       24
   10150,    26288,    13568,        0,     6908,    21249,       77
   10170,    26341,    13568,        0,     6742,    21302,   131039
   10190,    26394,    13568,        0,     6742,    21302,       20
   10210,    26447,    13568,        0,     6742,    21302,       73
   10230,    26500,    13568,        0,     6575,    21354,   131035
   10250,    26553,    13568,        0,     6575,    21354,       16
   10270,    26606,    13568,        0,     6575,    21354,       69
   10290,    26659,    13568,        0,     6408,    21405,   131031
   10310,    26712,    13568,        0,     6408,    21405,       12
   10330,    26765,    13568,        0,     6408,    21405,       65
   10350,    26818,    13568,        0,     6241,    21454,   131027
   10370,    26871,    13568,        0,     6241,    21454,        8
   10390,    26924,    13568,        0,     6241,    21454,       61
   10410,    26977,    13568,        0,     6073,    21502,   131023
   10430,    27030,    13568,        0,     6073,    21502,        4
   10450,    27083,    13568,        0,     6073,    21502,       57
